PID,DATE,Q-KEY,PAGE,"QUESTION ID",QUESTION,ANSWER,VALUE
651,10-03-2022,SDQ,1,1,"ladder community",,0
651,10-03-2022,SDQ,2,1,"ladder people in France",,0
651,10-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu_OTHER",,0
651,10-03-2022,SDQ,3,3,"Dans quel secteur d’activités travaillez-vous ou avez-vous travaillé le plus r�%.......",,0
651,10-03-2022,SDQ,3,4,"Quelle fonction occupez-vous actuellement ? (Intitulé de poste)",,0
651,10-03-2022,SDQ,4,1,"Nombre de personnes",,0
651,10-03-2022,SDQ,4,2,"Parmi ces personnes, combien y-at-il d’enfants ?",,0
651,10-03-2022,SDQ,4,3,"Parmi ces personnes, combien y-a-t-il d’adultes ?",,0
651,10-03-2022,SDQ,4,4,"Parmi ces adultes, combien de personnes apportent des revenus ?",,0
651,10-03-2022,SDQ,4,5,"Veuillez sélectionner l’option qui correspond au logement que vous occupez _OTHER",,0
651,10-03-2022,VG,1,1,"A quelle fréquence joues-tu à des jeux vidéo ?","Plusieurs fois par an",3
651,10-03-2022,VG,1,2,"Comment évalues-tu ton niveau en jeux vidéo ?",Bon,2
651,10-03-2022,VG,1,3,"À quel genre de jeux vidéo joues-tu le plus souvent ? Tu peux cocher plusieurs cases si .......",Array,0
651,10-03-2022,VG,1,4,"Sur une échelle de 1 (faibles) à 10 (excellentes) – comment évalues-t.......",5,0
651,10-03-2022,VG,1,5,"Sur une échelle de 1 (faibles) à 10 (excellentes) – comment évalues-t.......",5,0
651,10-03-2022,VG,1,6,"Sur une échelle de 1 (pas du tout) à 10 (tout à fait) – est-ce que tu.......",5,0
651,10-03-2022,VG,1,7,"Sur une échelle de 1 (pas du tout) à 10 (tout à fait) – est-ce que tu.......",5,0
651,10-03-2022,VG,1,8,"Sur une échelle de 1 (pas du tout) à 10 (beaucoup) – est-ce que tu fais du.......",5,0
651,10-03-2022,VG,1,9,"Portes-tu des lunettes ou des lentilles de contact ?",Non,1
651,10-03-2022,VG,1,10,"Quel âge as-tu ?",test,0
651,10-03-2022,VG,1,11,"Dans quel pays habites-tu ?",test,0
651,10-03-2022,VG,1,12,Sexe,"Préfère ne pas dire",3
652,11-03-2022,QFP,1,1,day_dob,5,0
652,11-03-2022,QFP,1,1,month_dob,5,0
652,11-03-2022,QFP,1,1,year_dob,2012,0
652,11-03-2022,QFP,1,2,"En quel niveau d’études est votre enfant ?",Primaire,0
652,11-03-2022,QFP,1,3,"Dans quelle classe est votre enfant ?",CM1,0
652,11-03-2022,QFP,1,4,"independent dragging",Oui,0
652,11-03-2022,QFP,1,5,"Dans quel pays votre enfant habite-t-il?",France,0
652,11-03-2022,QFP,1,6,"Quel est le sexe de votre enfant ?",Garçon,0
652,11-03-2022,SDQ,1,1,"ladder community",5,5
652,11-03-2022,SDQ,2,1,"ladder people in France",5,5
652,11-03-2022,SDQ,2,2,"Veuillez sélectionner votre plus haut niveau d’études ?",Supérieure,2
652,11-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu","Universités / Grandes écoles / Ecoles supérieures du secondaire",4
652,11-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu_OTHER",,0
652,11-03-2022,SDQ,3,3,"Dans quel secteur d’activités travaillez-vous ou avez-vous travaillé le plus r�%.......",,0
652,11-03-2022,SDQ,3,4,"Quelle fonction occupez-vous actuellement ? (Intitulé de poste)",,0
652,11-03-2022,SDQ,4,1,"Nombre de personnes",,0
652,11-03-2022,SDQ,4,2,"Parmi ces personnes, combien y-at-il d’enfants ?",,0
652,11-03-2022,SDQ,4,3,"Parmi ces personnes, combien y-a-t-il d’adultes ?",,0
652,11-03-2022,SDQ,4,4,"Parmi ces adultes, combien de personnes apportent des revenus ?",,0
652,11-03-2022,SDQ,4,5,"Veuillez sélectionner l’option qui correspond au logement que vous occupez _OTHER",,0
652,23-03-2022,VG,1,1,"A quelle fréquence joues-tu à des jeux vidéo ?",Jamais,4
652,23-03-2022,VG,1,2,"Comment évalues-tu ton niveau en jeux vidéo ?",Mauvais,4
652,23-03-2022,VG,1,4,"Sur une échelle de 1 (faibles) à 10 (excellentes) – comment évalues-t.......",9,0
652,23-03-2022,VG,1,5,"Sur une échelle de 1 (faibles) à 10 (excellentes) – comment évalues-t.......",8,0
652,23-03-2022,VG,1,6,"Sur une échelle de 1 (pas du tout) à 10 (tout à fait) – est-ce que tu.......",8,0
652,23-03-2022,VG,1,7,"Sur une échelle de 1 (pas du tout) à 10 (tout à fait) – est-ce que tu.......",10,0
652,23-03-2022,VG,1,8,"Sur une échelle de 1 (pas du tout) à 10 (beaucoup) – est-ce que tu fais du.......",10,0
652,23-03-2022,VG,1,9,"Portes-tu des lunettes ou des lentilles de contact ?",Oui,0
652,23-03-2022,VG,1,10,"Quel âge as-tu ?","9 ans",0
652,23-03-2022,VG,1,11,"Dans quel pays habites-tu ?",France,0
652,23-03-2022,VG,1,12,Sexe,Garçon,1
665,20-03-2022,QFP,1,1,day_dob,9,0
665,20-03-2022,QFP,1,1,month_dob,10,0
665,20-03-2022,QFP,1,1,year_dob,2010,0
665,20-03-2022,QFP,1,2,"En quel niveau d’études est votre enfant ?",Secondaire,1
665,20-03-2022,QFP,1,3,"Dans quelle classe est votre enfant ?",6ème,0
665,20-03-2022,QFP,1,4,"independent dragging",Oui,0
665,20-03-2022,QFP,1,5,"Dans quel pays votre enfant habite-t-il?",Singapour,0
665,20-03-2022,QFP,1,6,"Quel est le sexe de votre enfant ?",Garçon,0
665,20-03-2022,SDQ,1,1,"ladder community",4,4
665,20-03-2022,SDQ,2,1,"ladder people in France",3,3
665,20-03-2022,SDQ,2,2,"Veuillez sélectionner votre plus haut niveau d’études ?",Supérieure,2
665,20-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu","Universités / Grandes écoles / Ecoles supérieures du secondaire",4
665,20-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu_OTHER",,0
665,20-03-2022,SDQ,3,2,"Parmi ces options, laquelle correspond le mieux à votre situation actuelle ?","Travail à temps plein",0
665,20-03-2022,SDQ,3,3,"Dans quel secteur d’activités travaillez-vous ou avez-vous travaillé le plus r�%.......",enseignement,0
665,20-03-2022,SDQ,3,4,"Quelle fonction occupez-vous actuellement ? (Intitulé de poste)","professeur des écoles",0
665,20-03-2022,SDQ,3,5,"Quel est votre niveau de rémunération brute annuelle ?","De 25 000 € à 34 999 €",4
665,20-03-2022,SDQ,4,1,"Nombre de personnes",5,0
665,20-03-2022,SDQ,4,2,"Parmi ces personnes, combien y-at-il d’enfants ?",3,0
665,20-03-2022,SDQ,4,3,"Parmi ces personnes, combien y-a-t-il d’adultes ?",2,0
665,20-03-2022,SDQ,4,4,"Parmi ces adultes, combien de personnes apportent des revenus ?",2,0
665,20-03-2022,SDQ,4,5,"Veuillez sélectionner l’option qui correspond au logement que vous occupez ",Locataire,1
665,20-03-2022,SDQ,4,5,"Veuillez sélectionner l’option qui correspond au logement que vous occupez _OTHER",,0
665,20-03-2022,SDQ,4,6,"Veuillez sélectionner l’option qui correspond à l’ensemble des revenus de .......","Plus de 100 000 € ",8
665,20-03-2022,SDQ,4,7,"Si vous vous retrouviez sans vos revenus actuels, combien de temps pourriez-vous maintenir votre n.......","3 à 6 mois",2
665,20-03-2022,SDQ,5,1,"En supposant que vous ayez rapidement besoin de liquidités, quel montant d’écono.......","Ne sais pas",9
665,20-03-2022,SDQ,5,2,"Si vous déduisez les montants de vos éventuels emprunts en cours, de quel montant dispos.......","Plus de 500 000 €",8
665,20-03-2022,VG,1,1,"A quelle fréquence joues-tu à des jeux vidéo ?","Plusieurs fois par semaine",1
665,20-03-2022,VG,1,2,"Comment évalues-tu ton niveau en jeux vidéo ?","Plutôt bon",1
665,20-03-2022,VG,1,3,"À quel genre de jeux vidéo joues-tu le plus souvent ? Tu peux cocher plusieurs cases si .......",Array,0
665,20-03-2022,VG,1,4,"Sur une échelle de 1 (faibles) à 10 (excellentes) – comment évalues-t.......",6,0
665,20-03-2022,VG,1,5,"Sur une échelle de 1 (faibles) à 10 (excellentes) – comment évalues-t.......",8,0
665,20-03-2022,VG,1,6,"Sur une échelle de 1 (pas du tout) à 10 (tout à fait) – est-ce que tu.......",9,0
665,20-03-2022,VG,1,7,"Sur une échelle de 1 (pas du tout) à 10 (tout à fait) – est-ce que tu.......",3,0
665,20-03-2022,VG,1,8,"Sur une échelle de 1 (pas du tout) à 10 (beaucoup) – est-ce que tu fais du.......",7,0
665,20-03-2022,VG,1,9,"Portes-tu des lunettes ou des lentilles de contact ?",Non,1
665,20-03-2022,VG,1,10,"Quel âge as-tu ?","11 ans",0
665,20-03-2022,VG,1,11,"Dans quel pays habites-tu ?",singapour,0
665,20-03-2022,VG,1,12,Sexe,Garçon,1
669,21-03-2022,QFP,1,1,day_dob,12,0
669,21-03-2022,QFP,1,1,month_dob,08,0
669,21-03-2022,QFP,1,1,year_dob,2010,0
669,21-03-2022,QFP,1,2,"En quel niveau d’études est votre enfant ?",Secondaire,1
669,21-03-2022,QFP,1,3,"Dans quelle classe est votre enfant ?",6e,0
669,21-03-2022,QFP,1,4,"independent dragging",Oui,0
669,21-03-2022,QFP,1,5,"Dans quel pays votre enfant habite-t-il?",france,0
669,21-03-2022,QFP,1,6,"Quel est le sexe de votre enfant ?",Fille,1
669,21-03-2022,SDQ,1,1,"ladder community",5,5
669,21-03-2022,SDQ,2,1,"ladder people in France",4,4
669,21-03-2022,SDQ,2,2,"Veuillez sélectionner votre plus haut niveau d’études ?",Secondaire,1
669,21-03-2022,SDQ,1,1,"ladder community",7,7
669,21-03-2022,SDQ,2,1,"ladder people in France",2,2
669,21-03-2022,SDQ,2,2,"Veuillez sélectionner votre plus haut niveau d’études ?",Supérieure,2
669,21-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu","Universités / Grandes écoles / Ecoles supérieures du secondaire",4
669,21-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu_OTHER",,0
669,21-03-2022,SDQ,3,2,"Parmi ces options, laquelle correspond le mieux à votre situation actuelle ?","Travail à temps plein",0
669,21-03-2022,SDQ,3,3,"Dans quel secteur d’activités travaillez-vous ou avez-vous travaillé le plus r�%.......",Conseil,0
669,21-03-2022,SDQ,3,4,"Quelle fonction occupez-vous actuellement ? (Intitulé de poste)","Senior manager",0
669,21-03-2022,SDQ,4,1,"Nombre de personnes",,0
669,21-03-2022,SDQ,4,2,"Parmi ces personnes, combien y-at-il d’enfants ?",,0
669,21-03-2022,SDQ,4,3,"Parmi ces personnes, combien y-a-t-il d’adultes ?",,0
669,21-03-2022,SDQ,4,4,"Parmi ces adultes, combien de personnes apportent des revenus ?",,0
669,21-03-2022,SDQ,4,5,"Veuillez sélectionner l’option qui correspond au logement que vous occupez _OTHER",,0
669,21-03-2022,VG,1,1,"A quelle fréquence joues-tu à des jeux vidéo ?","Tous les jours",0
669,21-03-2022,VG,1,2,"Comment évalues-tu ton niveau en jeux vidéo ?",Bon,2
669,21-03-2022,VG,1,3,"À quel genre de jeux vidéo joues-tu le plus souvent ? Tu peux cocher plusieurs cases si .......",Array,0
669,21-03-2022,VG,1,4,"Sur une échelle de 1 (faibles) à 10 (excellentes) – comment évalues-t.......",9,0
669,21-03-2022,VG,1,5,"Sur une échelle de 1 (faibles) à 10 (excellentes) – comment évalues-t.......",10,0
669,21-03-2022,VG,1,6,"Sur une échelle de 1 (pas du tout) à 10 (tout à fait) – est-ce que tu.......",9,0
669,21-03-2022,VG,1,7,"Sur une échelle de 1 (pas du tout) à 10 (tout à fait) – est-ce que tu.......",8,0
669,21-03-2022,VG,1,8,"Sur une échelle de 1 (pas du tout) à 10 (beaucoup) – est-ce que tu fais du.......",8,0
669,21-03-2022,VG,1,9,"Portes-tu des lunettes ou des lentilles de contact ?",Oui,0
669,21-03-2022,VG,1,10,"Quel âge as-tu ?",11,0
669,21-03-2022,VG,1,11,"Dans quel pays habites-tu ?",france,0
669,21-03-2022,VG,1,12,Sexe,Fille,2
671,23-03-2022,QFP,1,1,day_dob,08,0
671,23-03-2022,QFP,1,1,month_dob,12,0
671,23-03-2022,QFP,1,1,year_dob,2009,0
671,23-03-2022,QFP,1,2,"En quel niveau d’études est votre enfant ?",Secondaire,1
671,23-03-2022,QFP,1,3,"Dans quelle classe est votre enfant ?",5,0
671,23-03-2022,QFP,1,4,"independent dragging",Oui,0
671,23-03-2022,QFP,1,5,"Dans quel pays votre enfant habite-t-il?",France,0
671,23-03-2022,QFP,1,6,"Quel est le sexe de votre enfant ?",Fille,1
671,23-03-2022,SDQ,1,1,"ladder community",,0
671,23-03-2022,SDQ,2,1,"ladder people in France",,0
671,23-03-2022,SDQ,2,2,"Veuillez sélectionner votre plus haut niveau d’études ?",Supérieure,2
671,23-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu","Universités / Grandes écoles / Ecoles supérieures du secondaire",4
671,23-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu_OTHER",,0
671,23-03-2022,SDQ,3,3,"Dans quel secteur d’activités travaillez-vous ou avez-vous travaillé le plus r�%.......",,0
671,23-03-2022,SDQ,3,4,"Quelle fonction occupez-vous actuellement ? (Intitulé de poste)",,0
671,23-03-2022,SDQ,4,1,"Nombre de personnes",,0
671,23-03-2022,SDQ,4,2,"Parmi ces personnes, combien y-at-il d’enfants ?",,0
671,23-03-2022,SDQ,4,3,"Parmi ces personnes, combien y-a-t-il d’adultes ?",,0
671,23-03-2022,SDQ,4,4,"Parmi ces adultes, combien de personnes apportent des revenus ?",,0
671,23-03-2022,SDQ,4,5,"Veuillez sélectionner l’option qui correspond au logement que vous occupez _OTHER",,0
671,23-03-2022,VG,1,1,"A quelle fréquence joues-tu à des jeux vidéo ?",Jamais,4
671,23-03-2022,VG,1,2,"Comment évalues-tu ton niveau en jeux vidéo ?",Mauvais,4
671,23-03-2022,VG,1,4,"Sur une échelle de 1 (faibles) à 10 (excellentes) – comment évalues-t.......",10,0
671,23-03-2022,VG,1,5,"Sur une échelle de 1 (faibles) à 10 (excellentes) – comment évalues-t.......",10,0
671,23-03-2022,VG,1,6,"Sur une échelle de 1 (pas du tout) à 10 (tout à fait) – est-ce que tu.......",10,0
671,23-03-2022,VG,1,7,"Sur une échelle de 1 (pas du tout) à 10 (tout à fait) – est-ce que tu.......",1,0
671,23-03-2022,VG,1,8,"Sur une échelle de 1 (pas du tout) à 10 (beaucoup) – est-ce que tu fais du.......",5,0
671,23-03-2022,VG,1,9,"Portes-tu des lunettes ou des lentilles de contact ?",Non,1
671,23-03-2022,VG,1,10,"Quel âge as-tu ?",12,0
671,23-03-2022,VG,1,11,"Dans quel pays habites-tu ?",France,0
671,23-03-2022,VG,1,12,Sexe,Fille,2
674,24-03-2022,QFP,1,1,day_dob,27,0
674,24-03-2022,QFP,1,1,month_dob,03,0
674,24-03-2022,QFP,1,1,year_dob,2009,0
674,24-03-2022,QFP,1,2,"En quel niveau d’études est votre enfant ?",Secondaire,1
674,24-03-2022,QFP,1,3,"Dans quelle classe est votre enfant ?","5ème ",0
674,24-03-2022,QFP,1,4,"independent dragging",Oui,0
674,24-03-2022,QFP,1,5,"Dans quel pays votre enfant habite-t-il?",France,0
674,24-03-2022,QFP,1,6,"Quel est le sexe de votre enfant ?",Garçon,0
674,24-03-2022,SDQ,1,1,"ladder community",5,5
675,24-03-2022,QFP,1,1,day_dob,27,0
675,24-03-2022,QFP,1,1,month_dob,03,0
675,24-03-2022,QFP,1,1,year_dob,2009,0
675,24-03-2022,QFP,1,2,"En quel niveau d’études est votre enfant ?",Secondaire,1
675,24-03-2022,QFP,1,3,"Dans quelle classe est votre enfant ?","5ème ",0
675,24-03-2022,QFP,1,4,"independent dragging",Oui,0
675,24-03-2022,QFP,1,5,"Dans quel pays votre enfant habite-t-il?",France,0
675,24-03-2022,QFP,1,6,"Quel est le sexe de votre enfant ?",Garçon,0
675,24-03-2022,SDQ,1,1,"ladder community",3,3
675,24-03-2022,SDQ,2,1,"ladder people in France",,0
675,24-03-2022,SDQ,2,2,"Veuillez sélectionner votre plus haut niveau d’études ?",Supérieure,2
675,24-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu","Universités / Grandes écoles / Ecoles supérieures du secondaire",4
675,24-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu_OTHER",,0
675,24-03-2022,SDQ,3,2,"Parmi ces options, laquelle correspond le mieux à votre situation actuelle ?","Travail à temps plein",0
675,24-03-2022,SDQ,3,3,"Dans quel secteur d’activités travaillez-vous ou avez-vous travaillé le plus r�%.......",Finance,0
675,24-03-2022,SDQ,3,4,"Quelle fonction occupez-vous actuellement ? (Intitulé de poste)","Présidente - Société de gestion",0
675,24-03-2022,SDQ,3,5,"Quel est votre niveau de rémunération brute annuelle ?","Plus de 100 000 €",8
675,24-03-2022,SDQ,4,1,"Nombre de personnes",5,0
675,24-03-2022,SDQ,4,2,"Parmi ces personnes, combien y-at-il d’enfants ?",3,0
675,24-03-2022,SDQ,4,3,"Parmi ces personnes, combien y-a-t-il d’adultes ?",2,0
675,24-03-2022,SDQ,4,4,"Parmi ces adultes, combien de personnes apportent des revenus ?",2,0
675,24-03-2022,SDQ,4,5,"Veuillez sélectionner l’option qui correspond au logement que vous occupez ",Propriétaire,0
675,24-03-2022,SDQ,4,5,"Veuillez sélectionner l’option qui correspond au logement que vous occupez _OTHER",,0
675,24-03-2022,SDQ,4,6,"Veuillez sélectionner l’option qui correspond à l’ensemble des revenus de .......","Plus de 100 000 € ",8
675,24-03-2022,SDQ,4,7,"Si vous vous retrouviez sans vos revenus actuels, combien de temps pourriez-vous maintenir votre n.......","Plus d’1 an",4
675,24-03-2022,SDQ,5,1,"En supposant que vous ayez rapidement besoin de liquidités, quel montant d’écono.......","De 200 000 € à 499 999 €",7
675,24-03-2022,SDQ,5,2,"Si vous déduisez les montants de vos éventuels emprunts en cours, de quel montant dispos.......","De 100 000 € à 199 999 €",6
675,24-03-2022,VG,1,1,"A quelle fréquence joues-tu à des jeux vidéo ?","Plusieurs fois par semaine",1
675,24-03-2022,VG,1,2,"Comment évalues-tu ton niveau en jeux vidéo ?",Bon,2
675,24-03-2022,VG,1,3,"À quel genre de jeux vidéo joues-tu le plus souvent ? Tu peux cocher plusieurs cases si .......",Array,0
675,24-03-2022,VG,1,4,"Sur une échelle de 1 (faibles) à 10 (excellentes) – comment évalues-t.......",8,0
675,24-03-2022,VG,1,5,"Sur une échelle de 1 (faibles) à 10 (excellentes) – comment évalues-t.......",8,0
675,24-03-2022,VG,1,6,"Sur une échelle de 1 (pas du tout) à 10 (tout à fait) – est-ce que tu.......",8,0
675,24-03-2022,VG,1,7,"Sur une échelle de 1 (pas du tout) à 10 (tout à fait) – est-ce que tu.......",9,0
675,24-03-2022,VG,1,8,"Sur une échelle de 1 (pas du tout) à 10 (beaucoup) – est-ce que tu fais du.......",10,0
675,24-03-2022,VG,1,9,"Portes-tu des lunettes ou des lentilles de contact ?",Non,1
675,24-03-2022,VG,1,10,"Quel âge as-tu ?","12 ans",0
675,24-03-2022,VG,1,11,"Dans quel pays habites-tu ?",France,0
675,24-03-2022,VG,1,12,Sexe,Garçon,1
676,26-03-2022,QFP,1,1,day_dob,17,0
676,26-03-2022,QFP,1,1,month_dob,03,0
676,26-03-2022,QFP,1,1,year_dob,2014,0
676,26-03-2022,QFP,1,2,"En quel niveau d’études est votre enfant ?",Primaire,0
676,26-03-2022,QFP,1,3,"Dans quelle classe est votre enfant ?",ce1,0
676,26-03-2022,QFP,1,4,"independent dragging",Oui,0
676,26-03-2022,QFP,1,5,"Dans quel pays votre enfant habite-t-il?",FRANCE,0
676,26-03-2022,QFP,1,6,"Quel est le sexe de votre enfant ?",Garçon,0
676,26-03-2022,SDQ,1,1,"ladder community",4,4
676,26-03-2022,SDQ,2,1,"ladder people in France",4,4
676,26-03-2022,SDQ,2,2,"Veuillez sélectionner votre plus haut niveau d’études ?",Supérieure,2
676,26-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu","Universités / Grandes écoles / Ecoles supérieures du secondaire",4
676,26-03-2022,SDQ,3,1,"Veuillez indiquer votre plus haut diplôme obtenu_OTHER",,0
